"source_path","target_path","classification","size_bytes","sha256_source","sha256_target","integrity_status"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\79_items_original.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\79_items_original.json","KEEP_AS_ARCHIVE","63725","806EF315537711BB007A934D9DC62FD284C5EDB2E95A2B09D0D3AD0F4CCE27EE","806EF315537711BB007A934D9DC62FD284C5EDB2E95A2B09D0D3AD0F4CCE27EE","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\79_items_verified.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\79_items_verified.json","KEEP_AS_ARCHIVE","1117","F586C16926B826AA71EF35037BE56737B6C745D0C57DBF993F44A0B0D8697469","F586C16926B826AA71EF35037BE56737B6C745D0C57DBF993F44A0B0D8697469","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\79_items_visual_estimates.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\79_items_visual_estimates.json","KEEP_AS_ARCHIVE","52175","4A9F463D740ACFF59BEE8F3564B8ACE152366819580CBBE2F7F738128604978F","4A9F463D740ACFF59BEE8F3564B8ACE152366819580CBBE2F7F738128604978F","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\calibration_round_01_replay_report.md","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\calibration_round_01_replay_report.md","KEEP_AS_ARCHIVE","13441","5E4B456A943D2201AADF6BD542E419C8A14FFEA953C435E52A5A7016B31EC3DC","5E4B456A943D2201AADF6BD542E419C8A14FFEA953C435E52A5A7016B31EC3DC","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\calibration_samples.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\calibration_samples.json","KEEP_AS_ARCHIVE","90246","913F965384FCA90906980F2CEEC633DCA53927F876200E2CEFB7432C26A6BFAB","913F965384FCA90906980F2CEEC633DCA53927F876200E2CEFB7432C26A6BFAB","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\calibration_samples_cleaned_v1.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\calibration_samples_cleaned_v1.json","KEEP_AS_ARCHIVE","107927","59707C2967F0D1478622B872576134EEA028A1B7D01FCE4F7CEBAA3B143A58DD","59707C2967F0D1478622B872576134EEA028A1B7D01FCE4F7CEBAA3B143A58DD","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\calibration_samples_round_02.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\calibration_samples_round_02.json","KEEP_AS_ARCHIVE","20881","98164D6C6FDD72051EFB32FDFF4A626A68E3446FD3AA063A22CBC6D171A2EFFC","98164D6C6FDD72051EFB32FDFF4A626A68E3446FD3AA063A22CBC6D171A2EFFC","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\archive\calibration\calibration_validation_report.md","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\calibration\calibration_validation_report.md","KEEP_AS_ARCHIVE","3265","148C6F23411D0078A71315EB4BF782ED4E259E29F2C6D931F369CBE3FE8EB972","148C6F23411D0078A71315EB4BF782ED4E259E29F2C6D931F369CBE3FE8EB972","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\alloy_stone_brooch_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\alloy_stone_brooch_ai.json","KEEP_AS_ARCHIVE","913","AFED25D66922DF18DB01487AC09E2E10EEB5EE458AF9273E109357B616EFB13E","AFED25D66922DF18DB01487AC09E2E10EEB5EE458AF9273E109357B616EFB13E","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\angel_wing_brooch_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\angel_wing_brooch_ai.json","KEEP_AS_ARCHIVE","915","ECA366C04DBE9A4C678A1412C17A93AF6DEBB76C4D4BB7569B196CA18CBFC7BD","ECA366C04DBE9A4C678A1412C17A93AF6DEBB76C4D4BB7569B196CA18CBFC7BD","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\apple_airpods_case_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\apple_airpods_case_ai.json","KEEP_AS_ARCHIVE","823","82A1D534AC1126BC8A9455C803E12DAD09982B9382CDED0EA90B365CD08605B2","82A1D534AC1126BC8A9455C803E12DAD09982B9382CDED0EA90B365CD08605B2","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\apple_compact_mirror_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\apple_compact_mirror_ai.json","KEEP_AS_ARCHIVE","1046","2EB6340EB2FB9CC264643B70D253679F1FD3890B61B677E176C9A276C0714464","2EB6340EB2FB9CC264643B70D253679F1FD3890B61B677E176C9A276C0714464","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\apple_smoothie_squishy_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\apple_smoothie_squishy_ai.json","KEEP_AS_ARCHIVE","909","88351DB087AA844D5E155CC48B49589577B668579A240F06D980AED5EB3B1E9E","88351DB087AA844D5E155CC48B49589577B668579A240F06D980AED5EB3B1E9E","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\arm_sleeves_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\arm_sleeves_ai.json","KEEP_AS_ARCHIVE","829","956E0248F7CB4BF8890D2C4BDD171EB1AA91B0C2FCB3E4998514C32708C74811","956E0248F7CB4BF8890D2C4BDD171EB1AA91B0C2FCB3E4998514C32708C74811","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\aroma_diffuser_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\aroma_diffuser_ai.json","KEEP_AS_ARCHIVE","1020","56C5CFA49ACB1C3ED1A8DB5FF76EFF01A691798D4AC809DAA07E58D5185C08DE","56C5CFA49ACB1C3ED1A8DB5FF76EFF01A691798D4AC809DAA07E58D5185C08DE","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\batman_cowl_mask_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\batman_cowl_mask_ai.json","KEEP_AS_ARCHIVE","1096","CAEBF5E613E266394673CA1282EB80C15399D126A29C9F78924925264981DA3A","CAEBF5E613E266394673CA1282EB80C15399D126A29C9F78924925264981DA3A","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\bikini_swimsuit_set_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\bikini_swimsuit_set_ai.json","KEEP_AS_ARCHIVE","886","0CE530C70FA32D44C74C387DEC18A3B44370594930B52A4F83AE12A6E0C11EA6","0CE530C70FA32D44C74C387DEC18A3B44370594930B52A4F83AE12A6E0C11EA6","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\black_tabi_socks_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\black_tabi_socks_ai.json","KEEP_AS_ARCHIVE","899","5939AB309E53D981B32574488947E036217FF7F3C06949B853C607A17D3F110F","5939AB309E53D981B32574488947E036217FF7F3C06949B853C607A17D3F110F","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\blue_crew_socks_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\blue_crew_socks_ai.json","KEEP_AS_ARCHIVE","796","6058C43FF8071ABB1294CC4F7D58334DB041E116284070B9EF33BB9AF5A629DE","6058C43FF8071ABB1294CC4F7D58334DB041E116284070B9EF33BB9AF5A629DE","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\body_chain_no_pierce_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\body_chain_no_pierce_ai.json","KEEP_AS_ARCHIVE","916","881263BE249CFB3C46C87792265FD169341BF70B929DCE7B25C54AD39C64214D","881263BE249CFB3C46C87792265FD169341BF70B929DCE7B25C54AD39C64214D","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\brass_maneki_neko_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\brass_maneki_neko_ai.json","KEEP_AS_ARCHIVE","840","3C465158E28F3F788BDE9BB2BD935D3D51886DAE0E524DD03B8041CEC4AA2329","3C465158E28F3F788BDE9BB2BD935D3D51886DAE0E524DD03B8041CEC4AA2329","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\brush_set_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\brush_set_ai.json","KEEP_AS_ARCHIVE","1031","412E2BC56E2565684120D9950325A68466FEE83613517C52D6942C43DFF5BF55","412E2BC56E2565684120D9950325A68466FEE83613517C52D6942C43DFF5BF55","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\camera_strap_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\camera_strap_ai.json","KEEP_AS_ARCHIVE","916","11F5A06CD17D57017A072B5209DB4BF295247F6A337DF121665EAB72F6C6F7F9","11F5A06CD17D57017A072B5209DB4BF295247F6A337DF121665EAB72F6C6F7F9","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\car_seatbelt_extender_pair_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\car_seatbelt_extender_pair_ai.json","KEEP_AS_ARCHIVE","872","190D35AED0C8B914F533B464F93B4D480F13EB9206C81FC7C2CEC0E94DF0EA83","190D35AED0C8B914F533B464F93B4D480F13EB9206C81FC7C2CEC0E94DF0EA83","MATCH"
"E:\EcommerceSkills\logistics-cost-skill-2.0\examples\cotton_skull_cap_ai.json","E:\Electronic Commerce Auto\Logistics calibration\archive\legacy\examples\cotton_skull_cap_ai.json","KEEP_AS_ARCHIVE","877","8409857E935843D85F952AE6772A2A3522E06C3CB51762A2FDFAA2FF6F74B7EE","8409857E935843D85F952AE6772A2A3522E06C3CB51762A2FDFAA2FF6F74B7EE","MATCH"
