record_id,forwarder,rate_rmb_per_kg,actual_pure_first_leg_rmb,billed_weight_equivalent_kg,conditional_shipment_weight_upper_g,conditional_transport_volume_upper_cm3,baseline_first_leg_rmb,baseline_billed_weight_equivalent_kg,baseline_vs_actual_pct,record_evidence_level,weight_vs_volume_dominance,transport_volume_estimate,package_dimension_range,numeric_rule_use
CAL-0001,义乌,100,3,0.03,30.0,240.0,3.0,0.03,0.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0002,义乌,100,11,0.11,110.0,880.0,2.7,0.027,-75.45,D,UNRESOLVED,UNRESOLVED,UNRESOLVED,HOLD
CAL-0003,义乌,100,9,0.09,90.0,720.0,4.5,0.045,-50.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0004,义乌,100,12,0.12,120.0,960.0,11,0.11,-8.33,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0005,义乌,100,3,0.03,30.0,240.0,2.6,0.026,-13.33,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0006,义乌,100,5,0.05,50.0,400.0,10,0.1,100.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0007,深圳,80,43,0.5375,537.5,4300.0,52,0.65,20.93,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0008,义乌,100,16,0.16,160.0,1280.0,18,0.18,12.5,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0009,义乌,100,6,0.06,60.0,480.0,4.37,0.0437,-27.17,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0010,义乌,100,12,0.12,120.0,960.0,12,0.12,0.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0011,义乌,100,9,0.09,90.0,720.0,6.25,0.0625,-30.56,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0012,义乌,100,6,0.06,60.0,480.0,6,0.06,0.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0013,义乌,100,3,0.03,30.0,240.0,12,0.12,300.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0014,义乌,100,23,0.23,230.0,1840.0,25,0.25,8.7,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0015,义乌,100,29,0.29,290.0,2320.0,30,0.3,3.45,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0016,义乌,100,12,0.12,120.0,960.0,15,0.15,25.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0017,义乌,100,4,0.04,40.0,320.0,6.75,0.0675,68.75,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0018,义乌,100,13,0.13,130.0,1040.0,15,0.15,15.38,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0019,义乌,100,6,0.06,60.0,480.0,25,0.25,316.67,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0020,义乌,100,3,0.03,30.0,240.0,2.81,0.0281,-6.33,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
